date,Distance,Angle,Motion,Velocity,OT
247,12.083817033151215,31.09061871998373,1,0.18143339363451183,190
248,12.125946522711587,30.42115726696142,1,0.06314376919093867,189
249,12.094016400924843,29.79775490125105,0,-0.03193012178674337,189
250,11.85327576316141,30.522486540782058,-1,-0.3695941342318072,188
251,11.442370938489132,31.625629648297224,-1,-0.05004945579354647,186
252,11.630001142746938,30.943154841828964,1,0.18763020425780574,186
253,11.808977864735066,30.705699195251206,1,0.17897672198812842,186
254,11.544395559271301,31.780228186788207,-1,-0.26458230546376527,186
255,11.155851610020246,33.45488378196909,-1,-0.46776132787011626,179
256,11.088991275538936,34.49452171750338,-1,-0.06686033448131035,173
257,11.134236814294034,34.02367582055075,0,0.014216859237542678,168
258,10.82252742090458,35.210013298120124,-1,-0.3117093933894548,165
259,10.483151029153385,37.21301195862112,-1,-0.3393763917511947,173
260,10.211098483540303,39.24553365205007,-1,-0.35421766844523717,181
261,9.804776940092385,41.21317936309836,-1,-0.3346097798791323,182
262,9.640972709729155,42.07145422657722,-1,-0.16380423036322966,181
263,9.889509137521726,40.32709876559082,1,0.22112977789954869,179
264,10.133301476316747,39.60580143727418,1,0.2898539249445413,173
265,10.311699253665363,39.43488178651919,1,0.14689299802536482,170
266,10.350080424823012,39.54692976616001,1,0.05741111613330929,170
267,10.358024925017236,39.9421844100688,-1,-0.09709386772125939,175
268,10.52219161840345,39.83291588487591,1,0.16416669338621404,176
269,10.847551453434564,38.819541438187954,1,0.3253598350311133,175
270,14.355949016950948,28.636027045667102,1,0.7886215188955212,174
271,14.905696277377306,26.797228052751777,1,0.5497472604263578,175
272,15.101288071018718,26.04235184446941,1,0.19559179364141244,175
273,15.163160006868141,26.01222681824596,1,0.061871935849422854,175
274,15.118170453822538,26.348939881357847,0,-0.04498955304560326,175
275,14.948069934636582,26.972980058141008,-1,-0.17010051918595614,175
276,14.849277961441524,27.42766814363898,-1,-0.1392904523160876,175
277,14.763343636539357,27.688503824685398,-1,-0.061291043672792256,173
278,14.814093659600418,27.454717751328875,1,0.050750023061061356,171
279,14.901005810816184,27.454411725617067,1,0.0983480732308859,171
280,14.871294728340816,27.16691862274528,0,-0.03185523725491102,169
281,14.756063794864277,26.308720087049355,-1,-0.11523093347653912,169
282,14.614999315220288,25.361439284076322,-1,-0.17801971754990653,169
283,14.448415400902249,23.148942680717525,-1,-0.11461909787966817,164
284,14.234140022982489,20.866143072893585,-1,-0.27442337979795184,165
285,13.987103542356158,18.68076906861368,-1,-0.30346839965776873,166
286,13.858104127775853,16.73336095685359,-1,-0.12899941458030462,166
287,13.732547153892105,14.033525859956184,-1,-0.11555094148471845,164
288,13.650694665852058,12.136751896705468,-1,-0.08185248804004708,170
289,13.519271347007844,8.893257923928706,0,-0.032409361017670335,171
290,13.503635246122498,8.774819592199076,0,-0.01563610088534695,169
291,13.50236258662507,8.689790013141634,0,-0.0012726594974274974,167
292,13.514146067115641,8.55351139696082,0,0.011783480490571208,167
293,13.526363322657641,8.374429458687993,0,0.012217255541999705,167
294,13.54307377137212,8.321263584840574,0,0.016710448714478687,167
295,13.568033597084039,8.263173685592964,0,0.016786418477051868,167
296,13.573841649605157,8.131675328699133,0,0.01542834620984479,167
297,13.574030481699136,7.961043273007671,0,0.007891546530373716,167
298,13.574611640106939,7.918083698210277,0,-0.007076784332644692,167
